Remote Host,Logname,User,Time,Request,Status,Bytes Sent,Referer,User-Agent
62.146.173.57,-,-,[04/Aug/2024:02:51:41 +0000],"GET /assets/.env HTTP/1.1",404,196,"http://13.233.29.212/assets/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0 OpenWave/94.4.4504.39"
62.146.173.57,-,-,[04/Aug/2024:02:51:41 +0000],"GET /assets/.env.production HTTP/1.1",404,196,"http://13.233.29.212/assets/.env.production","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0"
62.146.173.57,-,-,[04/Aug/2024:02:51:41 +0000],"GET /lib/.env HTTP/1.1",404,196,"http://13.233.29.212/lib/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /cronlab/.env HTTP/1.1",404,196,"http://13.233.29.212/cronlab/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /lab/.env HTTP/1.1",404,196,"http://13.233.29.212/lab/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /uploads/.env HTTP/1.1",404,196,"http://13.233.29.212/uploads/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0 GLS/100.10.9850.99"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /cron/.env HTTP/1.1",404,196,"http://13.233.29.212/cron/.env","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) AvastSecureBrowser/5.3.1 Mobile/15E148 Version/17.0 Safari/605.1.15"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /public/.env HTTP/1.1",404,196,"http://13.233.29.212/public/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /api/.env HTTP/1.1",404,196,"http://13.233.29.212/api/.env","Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/120.0.2210.141 Version/17.0 Mobile/15E148 Safari/604.1"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /v2/.env HTTP/1.1",404,196,"http://13.233.29.212/v2/.env","Mozilla/5.0 (X11; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /admin/.env HTTP/1.1",404,196,"http://13.233.29.212/admin/.env","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /laravel/.env HTTP/1.1",404,196,"http://13.233.29.212/laravel/.env","Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/120.0.2210.150 Version/17.0 Mobile/15E148 Safari/604.1"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /v1/.env HTTP/1.1",404,196,"http://13.233.29.212/v1/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /app/.env HTTP/1.1",404,196,"http://13.233.29.212/app/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0 Trailer/93.3.3695.30"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /apps/.env HTTP/1.1",404,196,"http://13.233.29.212/apps/.env","Mozilla/5.0 (X11; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /sendgrid.env HTTP/1.1",404,196,"http://13.233.29.212/sendgrid.env","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5; rv:123.0esr) Gecko/20100101 Firefox/123.0esr"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /main/.env HTTP/1.1",404,196,"http://13.233.29.212/main/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /storage/.env HTTP/1.1",404,196,"http://13.233.29.212/storage/.env","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/116.0.1938.79 Version/17.0 Mobile/15E148 Safari/604.1"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /backend/.env HTTP/1.1",404,196,"http://13.233.29.212/backend/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0 Agency/98.8.8188.80"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /client/.env HTTP/1.1",404,196,"http://13.233.29.212/client/.env","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:42 +0000],"GET /.env.live HTTP/1.1",404,196,"http://13.233.29.212/.env.live","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /.docker/.env HTTP/1.1",404,196,"http://13.233.29.212/.docker/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0 OpenWave/94.4.4504.39"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /.env.backup HTTP/1.1",404,196,"http://13.233.29.212/.env.backup","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /content/.env HTTP/1.1",404,196,"http://13.233.29.212/content/.env","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /media/.env HTTP/1.1",404,196,"http://13.233.29.212/media/.env","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /.env.production HTTP/1.1",404,196,"http://13.233.29.212/.env.production","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /new/.env HTTP/1.1",404,196,"http://13.233.29.212/new/.env","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 DuckDuckGo/7 Safari/605.1.15"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /crm/.env HTTP/1.1",404,196,"http://13.233.29.212/crm/.env","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /conf/.env HTTP/1.1",404,196,"http://13.233.29.212/conf/.env","Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/121.0.2277.107 Version/17.0 Mobile/15E148 Safari/604.1"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /newsite/.env HTTP/1.1",404,196,"http://13.233.29.212/newsite/.env","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Safari/605.1.15"
62.146.173.57,-,-,[04/Aug/2024:02:51:43 +0000],"GET /src/.env HTTP/1.1",404,196,"http://13.233.29.212/src/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0 Trailer/93.3.3695.30"
62.146.173.57,-,-,[04/Aug/2024:02:51:45 +0000],"GET /.env.swp HTTP/1.1",404,196,"http://13.233.29.212/.env.swp","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1 OPX/2.2.0"
62.146.173.57,-,-,[04/Aug/2024:02:51:45 +0000],"GET /.env.uat HTTP/1.1",404,196,"http://13.233.29.212/.env.uat","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
141.95.74.78,-,-,[04/Aug/2024:02:56:52 +0000],"GET /.env HTTP/1.1",404,196,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
141.95.74.78,-,-,[04/Aug/2024:02:56:52 +0000],"POST / HTTP/1.1",200,683,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
198.235.24.229,-,-,[04/Aug/2024:02:57:16 +0000],"GET / HTTP/1.0",200,6,"-","Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
135.125.244.48,-,-,[04/Aug/2024:02:58:15 +0000],"GET /.env HTTP/1.1",404,196,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
135.125.244.48,-,-,[04/Aug/2024:02:58:15 +0000],"POST / HTTP/1.1",200,6,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
106.75.47.74,-,-,[04/Aug/2024:03:34:03 +0000],"GET /.DS_Store HTTP/1.1",404,196,"-","Go-http-client/1.1"
103.114.106.2,-,-,[04/Aug/2024:04:08:09 +0000],"GET /.env HTTP/1.1",404,196,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
103.114.106.2,-,-,[04/Aug/2024:04:08:09 +0000],"POST / HTTP/1.1",200,6,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
103.114.106.2,-,-,[04/Aug/2024:04:08:09 +0000],"GET /sendgrid/.env HTTP/1.1",404,196,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
103.114.106.2,-,-,[04/Aug/2024:04:08:09 +0000],"POST / HTTP/1.1",200,6,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
167.88.169.123,-,-,[04/Aug/2024:04:27:28 +0000],"GET / HTTP/1.1",200,683,"-","Mozilla/5.0 (Linux; Android 9; SM-A530W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
